id,naziv,dokt20142018,univerzitet,budzet,nauka,sopstveni,zaposleninn
2,Архитектонски факултет,121,Универзитет у Београду,215654799.62,32671979,112561271.04,88
17,Биолошки факултет,243,Универзитет у Београду,216746397,139109378,220785000,200
20,Географски факултет,38,Универзитет у Београду,163584604.54,34625212.92,83330607.19,71
13,Грађевински факултет,52,Универзитет у Београду,315269629.82,52135874.24,273876085.52,111
4,Економски факултет,47,Универзитет у Београду,298754967.27,51660620,528093782.29,112
5,Електротехнички факултет,143,Универзитет у Београду,3333244127.2,111606208.78,0,149
22,Математички факултет,75,Универзитет у Београду,310266484.01,53608633.35,120111600.62,94
15,Машински факултет,108,Универзитет у Београду,609010649.25,162671151.91,382199217.71,163
14,Медицински факултет,528,Универзитет у Београду,1294730177.09,310476916,1033145314.65,609
16,Пољопривредни факултет,159,Универзитет у Београду,555838154.19,138614553.83,354396348.76,197
23,Правни факултет,120,Универзитет у Београду,236840086,26865629,562543001,85
32,Православни богословски факултет,17,Универзитет у Београду,136549307.64,5840539,44440146.1,43
24,Рударско-геолошки факултет,61,Универзитет у Београду,395238610.68,95112793.42,227311774.77,103
25,Саобраћајни факултет,47,Универзитет у Београду,363772681.33,62129701.36,165818240.19,122
26,Стоматолошки факултет,67,Универзитет у Београду,307334875,54768158,376854423,97
28,Технички факултет (Бор),28,Универзитет у Београду,193457079,32648420,39264566,69
29,Технолошко-металуршки факултет,199,Универзитет у Београду,462868087.4,162440410.72,137006174.89,128
30,Учитељски факултет,9,Универзитет у Београду,238330663.57,9487160.34,117607200.99,74
9,Факултет безбедности,27,Универзитет у Београду,101564024,10122420,145885278,37
31,Факултет ветеринарске медицине,84,Универзитет у Београду,334412510.58,71861886.89,128144224.48,105
3,Факултет за специјалну едукацију и рехабилитацију,39,Универзитет у Београду,184302691,28564412,85971568,73
18,Факултет за физичку хемију,79,Универзитет у Београду,134673824.67,38298745.56,24041575.06,46
10,Факултет организационих наука,109,Универзитет у Београду,358114577,39446508,435879783,117
11,Факултет политичких наука,150,Универзитет у Београду,209894165.74,46810476,237602680.15,95
7,Факултет спорта и физичког васпитања,41,Универзитет у Београду,131701502,9645272,122056230,55
6,Фармацеутски факултет,96,Универзитет у Београду,432836067,111463140.87,196596323.28,128
19,Физички факултет,44,Универзитет у Београду,206433370.19,69071867.77,39303753.69,106
12,Филозофски факултет,370,Универзитет у Београду,780312995,233986240,184566452,264
8,Филолошки факултет,297,Универзитет у Београду,792819729.42,47633822.12,360638296.13,226
21,Хемијски факултет,117,Универзитет у Београду,240015777.27,64748283.13,66229586.29,101
27,Шумарски факултет,60,Универзитет у Београду,321106384,64256000,137183003,95
33,"Агрономски факултет, Чачак",6,Универзитет у Крагујевцу,106319338,20868516,9598995,34
34,Економски факултет,31,Универзитет у Крагујевцу,155457000,8412000,0,62
44,Музички и примењене уметности,,Универзитет у Крагујевцу,309844393.68,18045996.22,55620826.65,93
39,Правни факултет,30,Универзитет у Крагујевцу,102696614.68,14870539,0,42
38,Природно-математички факултет,73,Универзитет у Крагујевцу,387666000,107321000,62887000,99
42,"Учитељски факултет, Ужице",9,Универзитет у Крагујевцу,135718193.37,4711670,44555188.27,29
